City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Torbay,CA,47.6666,-52.7314,32.0,100,90,16.11,light snow
106,Borkenes,NO,68.774,16.1739,25.0,95,100,4.0,overcast clouds
107,Vanavara,RU,60.34,102.2797,-38.52,81,31,4.68,scattered clouds
108,Thompson,CA,55.7435,-97.8558,15.8,86,90,4.61,light snow
109,Coquimbo,CL,-29.9533,-71.3436,69.8,78,20,16.11,few clouds
110,Sohag,EG,26.557,31.6948,59.0,51,0,9.22,clear sky
111,Seoul,KR,37.5683,126.9778,42.8,87,75,3.44,light rain
112,Griffith,US,41.5284,-87.4237,32.0,93,90,10.36,snow
113,Vaini,TO,-21.2,-175.2,75.2,88,90,11.5,light rain
114,Longyearbyen,SJ,78.2186,15.6401,-0.4,42,0,14.97,clear sky
115,Nuevo Laredo,MX,27.4763,-99.5164,78.8,19,40,8.05,scattered clouds
116,Necochea,AR,-38.5473,-58.7368,64.0,55,47,4.0,scattered clouds
117,Rawlins,US,41.7911,-107.2387,33.8,47,1,13.8,clear sky
118,San Quintin,MX,30.4833,-115.95,62.67,51,98,3.78,overcast clouds
119,Bredasdorp,ZA,-34.5322,20.0403,64.99,92,100,3.0,light rain
120,Walvis Bay,NA,-22.9575,14.5053,66.0,77,0,3.44,clear sky
121,Sur,OM,22.5667,59.5289,68.95,56,0,4.43,clear sky
122,Upernavik,GL,72.7868,-56.1549,1.87,92,100,9.15,light snow
123,Paka,MY,4.6374,103.4368,78.8,89,100,6.91,overcast clouds
124,Comodoro Rivadavia,AR,-45.8667,-67.5,75.2,43,40,23.02,scattered clouds
125,Tura,IN,25.5198,90.2201,53.15,42,0,2.1,clear sky
126,Sabang,ID,5.8933,95.3214,81.61,76,84,22.26,broken clouds
127,Ostrovnoy,RU,68.0531,39.5131,13.37,94,86,6.4,overcast clouds
128,Ahipara,NZ,-35.1667,173.1667,65.01,66,0,4.05,clear sky
129,Chokurdakh,RU,70.6333,147.9167,-26.61,86,60,11.81,broken clouds
130,Alofi,NU,-19.0595,-169.9187,77.0,88,100,5.75,light rain
131,Richards Bay,ZA,-28.783,32.0377,77.9,89,93,10.71,light rain
132,Dakar,SN,14.6937,-17.4441,75.2,50,0,11.5,clear sky
133,Punta Arenas,CL,-53.15,-70.9167,57.2,54,0,28.77,clear sky
134,Hyeres,FR,43.1167,6.1167,57.2,62,0,9.22,clear sky
135,Teya,RU,60.3778,92.6267,-22.07,81,99,1.81,overcast clouds
136,Bafq,IR,31.6128,55.4107,52.05,38,0,1.19,clear sky
137,Iqaluit,CA,63.7506,-68.5145,-5.8,77,75,3.44,broken clouds
138,Lima,PE,-12.0432,-77.0282,77.0,61,0,11.5,clear sky
139,Hambantota,LK,6.1241,81.1185,77.13,82,54,12.68,broken clouds
140,Airai,TL,-8.9266,125.4092,61.03,100,100,3.74,moderate rain
141,San Patricio,US,28.017,-97.5169,82.4,18,1,17.27,clear sky
142,Sandy Bay,AU,-42.913,147.3532,57.2,82,20,8.05,few clouds
143,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,58,40,17.27,scattered clouds
144,Emmett,US,43.8735,-116.4993,52.0,41,0,15.01,clear sky
145,Lasa,IT,46.6166,10.7002,34.0,80,0,4.61,clear sky
146,Puerto Penasco,MX,31.3167,-113.5333,64.0,50,13,5.99,few clouds
147,Goderich,CA,43.7501,-81.7165,26.6,68,81,19.57,broken clouds
148,Ilulissat,GL,69.2167,-51.1,8.6,47,40,14.97,scattered clouds
149,Itoman,JP,26.1247,127.6694,60.8,72,40,5.75,scattered clouds
150,Tiksi,RU,71.6872,128.8694,-26.7,86,100,6.8,overcast clouds
151,Khatanga,RU,71.9667,102.5,-42.45,80,36,6.76,scattered clouds
152,Marawi,PH,7.9986,124.2928,73.99,94,100,5.99,overcast clouds
153,Santa Rosalia,MX,27.3167,-112.2833,64.99,43,100,11.16,overcast clouds
154,Aasiaat,GL,68.7098,-52.8699,-0.53,93,99,7.56,overcast clouds
155,Dikson,RU,73.5069,80.5464,-27.29,78,66,8.72,broken clouds
156,Dunedin,NZ,-45.8742,170.5036,61.0,71,100,4.0,overcast clouds
157,Muisne,EC,0.6,-80.0333,80.6,89,75,10.36,broken clouds
158,Novyy Urengoy,RU,66.0833,76.6333,-6.92,91,100,10.45,overcast clouds
159,Mantua,IT,45.1667,10.7833,41.0,93,20,4.61,few clouds
160,Cabo San Lucas,MX,22.8909,-109.9124,78.01,73,90,9.22,overcast clouds
161,Saint Anthony,US,45.0205,-93.218,34.0,74,90,9.22,overcast clouds
162,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.45,76,100,0.76,overcast clouds
163,Byron Bay,AU,-28.65,153.6167,71.6,83,75,6.91,broken clouds
164,Leningradskiy,RU,69.3833,178.4167,-21.23,85,96,9.31,overcast clouds
165,Bafra,TR,41.5678,35.9069,54.0,57,30,5.99,scattered clouds
166,Miyako,JP,39.6367,141.9525,24.48,87,80,4.63,broken clouds
167,Da Lat,VN,11.9465,108.4419,55.54,96,100,1.61,overcast clouds
168,Lakeside,US,30.13,-81.7682,73.99,56,75,16.11,broken clouds
169,Meulaboh,ID,4.1363,96.1285,75.92,86,76,3.38,broken clouds
170,Vila Velha,BR,-20.3297,-40.2925,84.2,65,20,20.71,few clouds
171,Beringovskiy,RU,63.05,179.3167,11.34,96,100,25.7,snow
172,Batemans Bay,AU,-35.7167,150.1833,63.0,96,99,1.01,overcast clouds
173,Riyadh,SA,24.6877,46.7219,62.6,29,0,3.44,clear sky
174,Ixtapa,MX,20.7,-105.2,75.2,64,1,8.05,clear sky
175,Limenaria,GR,40.6261,24.5786,57.0,83,100,1.01,overcast clouds
176,Bethel,US,41.3712,-73.414,23.0,49,90,4.07,overcast clouds
177,Geraldton,AU,-28.7667,114.6,68.0,77,0,2.3,clear sky
178,Haines Junction,CA,60.7522,-137.5108,-9.4,77,82,2.21,broken clouds
179,Kahului,US,20.8947,-156.47,73.4,68,20,16.11,few clouds
180,Channel-Port Aux Basques,CA,47.5702,-59.1367,30.87,93,92,13.6,overcast clouds
181,Mount Isa,AU,-20.7333,139.5,80.6,57,100,7.61,overcast clouds
182,Christchurch,NZ,-43.5333,172.6333,62.01,88,7,5.75,clear sky
183,Roald,NO,62.5833,6.1333,28.4,93,40,4.61,light snow
184,Yellowknife,CA,62.456,-114.3525,-5.01,84,75,5.75,broken clouds
185,Delano,US,35.7688,-119.247,59.0,54,1,2.68,clear sky
186,Dasoguz,TM,41.8363,59.9666,39.2,65,7,4.61,clear sky
187,Riosucio,CO,5.4216,-75.7032,84.2,45,20,5.75,few clouds
188,Sal Rei,CV,16.1833,-22.9167,75.2,64,0,14.97,clear sky
189,Isiro,CD,2.7739,27.616,69.91,45,3,2.21,clear sky
190,Escanaba,US,45.7453,-87.0646,30.0,69,40,5.75,scattered clouds
191,Sept-Iles,CA,50.2001,-66.3821,28.99,50,100,3.44,overcast clouds
192,Mawlaik,MM,23.6333,94.4167,56.37,52,37,1.95,scattered clouds
193,Saskylakh,RU,71.9167,114.0833,-30.8,84,63,7.94,broken clouds
194,Linares,CL,-35.85,-71.6,71.62,70,96,6.46,overcast clouds
195,Trairi,BR,-3.2778,-39.2689,82.62,73,30,13.85,scattered clouds
196,Algiers,DZ,36.7525,3.042,57.2,67,75,5.75,broken clouds
197,Arlit,NE,18.7369,7.3853,67.41,20,51,5.73,broken clouds
198,Izhma,RU,65.0083,53.9113,23.18,97,100,9.95,light snow
199,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,77,20,14.97,few clouds
200,Matias Romero,MX,16.8833,-95.0333,80.62,61,98,14.32,overcast clouds
201,Dillon,US,34.4166,-79.3712,55.4,100,90,10.36,light rain
202,Elko,US,41.0002,-115.5012,36.0,51,1,8.05,clear sky
203,Svetlaya,RU,46.5389,138.3297,3.0,81,100,3.11,overcast clouds
204,Saraland,US,30.8207,-88.0706,75.0,66,20,1.99,few clouds
205,Celestun,MX,20.8667,-90.4,77.97,61,0,10.11,clear sky
206,Jieshi,CN,22.8134,115.8257,59.94,74,0,5.19,clear sky
207,Grindavik,IS,63.8424,-22.4338,30.2,74,0,6.91,clear sky
208,Kholmogory,RU,64.2229,41.656,23.0,93,90,4.47,light snow
209,Kuusamo,FI,65.9667,29.1833,8.6,85,90,4.61,light snow
210,Rock Sound,BS,24.9,-76.2,72.59,72,94,14.58,overcast clouds
211,Daru,PG,-9.0763,143.2092,77.41,88,96,11.68,overcast clouds
212,Dutse,NG,11.7594,9.3392,73.38,20,0,8.12,clear sky
213,Narsaq,GL,60.9167,-46.05,39.2,30,75,18.41,broken clouds
214,Guilin,CN,25.2819,110.2864,55.4,94,90,1.77,mist
215,Tual,ID,-5.6667,132.75,81.45,78,100,15.21,overcast clouds
216,Puerto Ayora,EC,-0.7393,-90.3518,86.0,66,0,16.11,clear sky
217,Linda,US,39.1277,-121.5508,60.8,54,90,5.75,overcast clouds
218,Waipawa,NZ,-41.4122,175.5153,61.0,77,2,17.27,clear sky
219,Verkhniy Fiagdon,RU,42.8333,44.3053,28.4,93,8,4.47,clear sky
220,Faanui,PF,-16.4833,-151.75,81.1,77,100,11.03,overcast clouds
221,Aljezur,PT,37.3191,-8.8033,59.0,100,100,3.0,overcast clouds
222,Atotonilco El Grande,MX,20.2833,-98.6667,70.03,32,0,14.0,clear sky
223,Iwaki,JP,37.05,140.8833,28.99,52,3,2.33,clear sky
224,Tongren,CN,27.7172,109.1853,47.46,90,100,2.28,overcast clouds
225,Safford,US,32.834,-109.7076,59.0,29,1,12.66,clear sky
226,Gladstone,AU,-23.85,151.25,73.4,83,75,6.91,light rain
227,Pundaguitan,PH,6.3711,126.1689,80.06,83,100,16.69,overcast clouds
228,Guia De Isora,ES,28.2115,-16.7795,68.0,36,0,8.16,clear sky
229,Dicabisagan,PH,17.0818,122.4157,71.6,82,90,7.52,overcast clouds
230,Izvestkovyy,RU,48.9833,131.55,-10.71,88,100,1.74,snow
231,Barsovo,RU,61.1667,73.1667,8.6,92,40,2.24,light snow
232,Zemio,CF,5.0314,25.1361,77.65,27,100,3.67,overcast clouds
233,Urumqi,CN,43.801,87.6005,3.2,85,75,2.24,light snow
234,Port Hedland,AU,-20.3167,118.5667,77.0,88,75,16.11,light rain
235,Kiruna,SE,67.8557,20.2251,15.8,92,75,11.5,light snow
236,Norman Wells,CA,65.282,-126.8329,-18.4,69,75,2.3,broken clouds
237,Sfantu Gheorghe,RO,45.8667,25.7833,33.01,86,100,8.01,light snow
238,Kingman,US,35.1894,-114.053,52.0,46,1,9.22,clear sky
239,Hofn,IS,64.2539,-15.2082,26.02,80,0,10.83,clear sky
240,Hasaki,JP,35.7333,140.8333,35.6,60,75,8.05,broken clouds
241,Masvingo,ZW,-20.0637,30.8277,69.58,92,55,6.22,broken clouds
242,Abadan,IR,30.3392,48.3043,53.6,62,0,2.3,clear sky
243,Elizabethton,US,36.3487,-82.2107,48.2,71,90,5.75,overcast clouds
244,Saint-Dizier,FR,48.4167,5.0833,46.4,100,75,5.75,broken clouds
245,Tupi Paulista,BR,-21.3811,-51.5706,80.08,77,99,3.4,moderate rain
246,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.0,67,54,8.95,broken clouds
247,Xuddur,SO,4.1213,43.8894,74.95,31,0,12.12,clear sky
248,Alta Floresta,BR,-9.8756,-56.0861,87.8,66,40,6.91,moderate rain
249,Mayo,US,38.8876,-76.5119,32.0,93,90,11.5,snow
250,Coihueco,CL,-36.6167,-71.8333,73.4,60,40,9.22,scattered clouds
251,Khorixas,NA,-20.3667,14.9667,66.18,56,0,12.12,clear sky
252,New Philadelphia,US,40.4898,-81.4457,35.01,86,90,8.05,snow
253,Lompoc,US,34.6391,-120.4579,60.01,66,1,4.61,clear sky
254,Hovd,MN,48.0056,91.6419,3.67,88,12,2.17,few clouds
255,Aleksandrov Gay,RU,50.147,48.5704,33.17,93,100,14.88,overcast clouds
256,Jacareacanga,BR,-6.2222,-57.7528,84.99,75,75,3.83,broken clouds
257,Male,MV,4.1748,73.5089,82.4,83,75,11.5,broken clouds
258,Nadym,RU,65.5333,72.5167,-5.31,91,87,6.55,overcast clouds
259,Buala,SB,-8.145,159.5921,81.7,80,100,14.16,overcast clouds
260,Dapaong,TG,10.8639,0.205,81.27,15,0,7.52,clear sky
261,Bontang,ID,0.1333,117.5,76.6,86,89,7.18,overcast clouds
262,Mahebourg,MU,-20.4081,57.7,80.6,78,75,11.5,broken clouds
263,Adrar,MR,20.5022,-10.0711,70.34,20,0,7.07,clear sky
264,Yulara,AU,-25.2406,130.9889,86.0,19,98,11.5,overcast clouds
265,Santa Cruz,BO,-17.8,-63.1667,86.0,65,75,16.11,broken clouds
266,Vasudevanallur,IN,9.2333,77.4167,72.91,74,68,4.9,broken clouds
267,Minot,US,48.2325,-101.2963,19.4,86,90,4.65,overcast clouds
268,High Level,CA,58.5169,-117.136,-2.2,78,90,5.75,overcast clouds
269,Galesong,ID,-5.3166,119.3661,75.2,100,40,4.61,moderate rain
270,Avera,US,33.194,-82.5271,59.0,97,90,5.75,moderate rain
271,Evensk,RU,61.95,159.2333,-9.94,80,100,14.27,overcast clouds
272,Portland,US,45.5234,-122.6762,52.0,91,100,5.75,light rain
273,Kondinskoye,RU,59.6481,67.41,5.14,95,98,4.92,overcast clouds
274,San Ramon,US,37.7799,-121.978,62.6,39,1,9.22,clear sky
275,Maragogi,BR,-9.0122,-35.2225,80.58,72,52,10.07,broken clouds
276,Rio Das Ostras,BR,-22.5269,-41.945,86.0,58,0,13.8,clear sky
277,Hobyo,SO,5.3505,48.5268,75.97,74,0,15.52,clear sky
278,Lithgow,AU,-33.4833,150.15,57.99,43,82,3.29,broken clouds
279,Utete,TZ,-7.986,38.758,73.78,91,100,4.21,overcast clouds
280,Burns Lake,CA,54.2331,-125.7533,21.2,86,100,2.3,overcast clouds
281,Bukama,CD,-9.2,25.85,70.95,91,100,0.16,light rain
282,Sao Joao Do Piaui,BR,-8.3581,-42.2467,89.6,43,100,6.6,overcast clouds
283,Vila Franca Do Campo,PT,37.7167,-25.4333,63.0,88,75,14.97,broken clouds
284,Rockland,US,41.1668,-74.0496,23.0,61,100,2.86,overcast clouds
285,Kamaishi,JP,39.2667,141.8833,26.02,90,84,6.2,broken clouds
286,Ulaanbaatar,MN,47.9077,106.8832,-20.2,63,0,11.18,clear sky
287,Sonipat,IN,28.9833,77.0167,51.8,76,0,3.62,mist
288,Makat,KZ,47.6469,53.3463,27.01,96,69,5.99,broken clouds
289,Omsukchan,RU,62.5333,155.8,-38.96,77,100,6.8,overcast clouds
290,Nouadhibou,MR,20.931,-17.0347,68.0,73,89,16.11,sand
291,Tasiilaq,GL,65.6145,-37.6368,14.0,57,40,3.44,scattered clouds
292,Wewak,PG,-3.5534,143.6268,76.6,91,100,4.38,overcast clouds
293,Nicolas Bravo,MX,18.45,-88.9167,84.2,61,40,10.36,scattered clouds
294,Ust-Ilimsk,RU,58.0006,102.6619,-38.94,79,55,3.13,broken clouds
295,Sarangani,PH,5.4033,125.4636,81.39,76,100,11.41,overcast clouds
296,Masallatah,LY,32.6167,14.0,57.52,68,61,12.84,broken clouds
297,Krumovgrad,BG,41.4667,25.65,57.99,84,100,8.99,overcast clouds
298,Javanrud,IR,34.7961,46.5172,35.04,83,89,3.36,overcast clouds
299,Nueva Germania,PY,-23.9,-56.5667,89.35,60,64,6.53,broken clouds
300,Kungurtug,RU,50.5994,97.5228,-18.56,80,36,1.86,scattered clouds
301,Sao Filipe,CV,14.8961,-24.4956,73.63,70,0,7.36,clear sky
302,Kailua,US,21.4022,-157.7394,75.2,69,75,13.8,broken clouds
303,Soc Trang,VN,9.6033,105.98,75.2,100,20,1.14,few clouds
304,Leipzig,DE,51.342,12.375,27.0,86,0,8.05,clear sky
305,Yeppoon,AU,-23.1333,150.7333,75.2,78,75,6.91,broken clouds
306,Saint-Leu,RE,-21.15,55.2833,82.4,65,0,18.41,clear sky
307,Zabaykalsk,RU,49.6333,117.3167,-24.66,82,0,10.31,clear sky
308,Alsfeld,DE,50.75,9.2667,32.0,91,100,3.0,overcast clouds
309,Kifri,IQ,34.6959,44.9661,50.32,55,0,9.98,clear sky
310,Lahij,YE,13.1667,44.5833,68.14,83,46,5.59,scattered clouds
311,Saldanha,ZA,-33.0117,17.9442,66.81,89,100,10.85,light rain
312,Whitehorse,CA,60.7161,-135.0538,-11.2,77,90,3.44,light snow
313,Along,IN,28.1667,94.7667,47.53,61,0,2.01,clear sky
314,Noumea,NC,-22.2763,166.4572,78.01,94,90,2.3,overcast clouds
315,Severo-Kurilsk,RU,50.6789,156.125,21.81,93,88,42.23,light snow
