City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Bontang,ID,76.6,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
262,Mahebourg,MU,80.6,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
263,Adrar,MR,70.34,clear sky,20.5022,-10.0711,
264,Yulara,AU,86.0,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
265,Santa Cruz,BO,86.0,broken clouds,-17.8,-63.1667,Hotel Cortez
266,Vasudevanallur,IN,72.91,broken clouds,9.2333,77.4167,Mrinmoyee Apartment
269,Galesong,ID,75.2,moderate rain,-5.3166,119.3661,Sapriadi Appy
275,Maragogi,BR,80.58,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
276,Rio Das Ostras,BR,86.0,clear sky,-22.5269,-41.945,Pousada Girassol
277,Hobyo,SO,75.97,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
279,Utete,TZ,73.78,overcast clouds,-7.986000000000001,38.758,River View Lodge
281,Bukama,CD,70.95,light rain,-9.2,25.85,
282,Sao Joao Do Piaui,BR,89.6,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
292,Wewak,PG,76.6,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
293,Nicolas Bravo,MX,84.2,scattered clouds,18.45,-88.9167,
295,Sarangani,PH,81.39,overcast clouds,5.4033,125.4636,Ballistic Islet
299,Nueva Germania,PY,89.35,broken clouds,-23.9,-56.5667,Estancia Ña Luisa
301,Sao Filipe,CV,73.63,clear sky,14.8961,-24.4956,Tortuga B&B
302,Kailua,US,75.2,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
303,Soc Trang,VN,75.2,few clouds,9.6033,105.98,Phu Qui Hotel
305,Yeppoon,AU,75.2,broken clouds,-23.1333,150.7333,Villa Mar Colina
306,Saint-Leu,RE,82.4,clear sky,-21.15,55.2833,La Caz Oceane
314,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
316,Maxixe,MZ,79.74,clear sky,-23.8597,35.3472,Oceano
317,Bubaque,GW,78.91,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
318,Sembe,CG,73.78,light rain,1.6481,14.5806,
320,Makakilo City,US,75.2,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
321,Basco,PH,71.94,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
322,Wajir,KE,84.22,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
324,Samana,DO,82.4,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
325,Ocumare Del Tuy,VE,80.6,scattered clouds,10.1165,-66.7761,Lennys
326,Itarema,BR,83.17,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
329,Aitape,PG,77.32,heavy intensity rain,-3.1374,142.3475,
330,Kavieng,PG,83.12,light rain,-2.5744,150.7967,Nusa Island Retreat
332,Takoradi,GH,80.11,broken clouds,4.8845,-1.7554,Raybow International Hotel
334,Chiredzi,ZW,75.33,clear sky,-21.05,31.6667,The Nesbitt Arms
335,Caravelas,BR,80.82,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
338,Kruisfontein,ZA,73.99,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
339,Inongo,CD,75.6,clear sky,-1.95,18.2667,Hotel Du Lac
341,Monrovia,LR,80.6,broken clouds,6.3005,-10.7969,Sunset Inn
349,Beoumi,CI,87.8,haze,7.6736,-5.5764,Domicile Mr Atte
351,Prata,BR,88.14,broken clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
356,Belmonte,BR,82.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
357,Gizo,SB,84.58,overcast clouds,-8.103,156.8419,Imagination Island
358,Port Blair,IN,79.29,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
359,Guider,CM,80.38,clear sky,9.9342,13.9486,Hotel Falaise
360,Klaeng,TH,73.0,broken clouds,12.7797,101.6483,Damrongcheep in Resort
362,Chiriqui Grande,PA,75.0,overcast clouds,8.95,-82.1167,Hotel Atlantic
366,Mercedes,AR,71.01,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
370,Coihaique,CL,77.0,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
372,Namatanai,PG,79.54,overcast clouds,-3.6667,152.4333,Namatanai Hotel
376,Pitimbu,BR,86.0,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
378,Saint-Georges,GD,84.2,scattered clouds,12.0564,-61.7485,Siesta Hotel
380,Galle,LK,75.22,clear sky,6.0367,80.217,Amangalla
384,Acari,PE,82.81,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
385,Concepcion Del Oro,MX,70.2,clear sky,24.6333,-101.4167,HOTEL HACIENDA SAN JAVIER
391,Lahaina,US,73.4,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
397,Nicoya,CR,89.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
402,Varzea Grande,BR,87.8,heavy intensity rain,-15.6467,-56.1325,Hotel Express
405,Atar,MR,73.74,overcast clouds,20.5169,-13.0499,Oumou Elghoura
406,Tirumullaivasal,IN,76.21,scattered clouds,11.2333,79.8333,Hajaali
409,Ballina,AU,71.6,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
411,Buta,CD,72.07,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
417,Vao,NC,76.12,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
418,Kawalu,ID,71.91,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
422,Gorontalo,ID,74.95,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
424,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
425,Grand Gaube,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
426,Candido De Abreu,BR,70.81,light rain,-24.5669,-51.3333,Hotel Recanto
428,Angoche,MZ,81.23,overcast clouds,-16.2325,39.9086,Guest House HESADA
429,Ancud,CL,71.6,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
435,Lala,PH,76.44,light rain,7.9745,123.7458,Dennis
438,Cayenne,GF,84.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
439,Fort Pierce,US,78.8,broken clouds,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
443,Batticaloa,LK,77.63,clear sky,7.7102,81.6924,Grand Star Guest House
446,Sinjai,ID,75.63,light rain,-5.1241,120.25299999999999,Wisma Sandika
447,Quatre Cocos,MU,81.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
454,Kontagora,NG,81.05,broken clouds,10.3999,5.4695,City Gate Inn
455,Ratnagiri,IN,76.19,clear sky,16.9833,73.3,Hotel Landmark
457,Tondano,ID,75.2,scattered clouds,1.3038,124.9112,Villa Bella
466,Gweta,BW,78.53,overcast clouds,-20.1833,25.2333,Gweta Lodge
467,Padang,ID,77.25,overcast clouds,-0.9492,100.3543,Mercure Padang
469,Ilo,PE,73.58,clear sky,-17.6394,-71.3375,Torreblanca Hotel
470,Correntina,BR,85.59,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
472,Kieta,PG,81.18,overcast clouds,-6.2167,155.6333,
474,Sorong,ID,80.02,overcast clouds,-0.8833,131.25,The Waigo Hotel
476,Kasongo-Lunda,CD,72.1,light rain,-6.4667,16.8167,
478,Balabac,PH,80.22,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
480,Ndende,GA,75.09,moderate rain,-2.4008,11.3581,
484,Sibolga,ID,74.82,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
486,Thoen,TH,70.66,clear sky,17.6129,99.2161,Nakornthoen Hotel
487,Masuguru,TZ,74.12,light rain,-11.3667,38.4167,
489,Tumaco,CO,82.78,few clouds,1.7986,-78.8156,Dafneruben
495,Katherine,AU,77.0,scattered clouds,-14.4667,132.2667,Pine Tree Motel
496,Taltal,CL,73.42,few clouds,-25.4,-70.4833,Residencial Karime
500,Limbe,CM,82.4,few clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
506,Mattru,SL,79.74,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
515,Soure,BR,82.62,few clouds,-0.7167,-48.5233,Casarão
521,Sao Joao Da Barra,BR,86.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
529,San Miguelito,PA,89.6,few clouds,9.0333,-79.5,Sheraton Grand Panama
534,Yarada,IN,77.0,mist,17.65,83.2667,"D-26/2, Dolphin Hill,"
537,Luganville,VU,78.78,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
538,Kisangani,CD,74.5,overcast clouds,0.5167,25.2,Grand Ramela Hotel
541,Key Largo,US,75.99,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
544,Malakal,SS,80.76,clear sky,9.5334,31.6605,Nile Palace Hotel
550,Bacolod,PH,75.65,overcast clouds,10.6667,122.95,Planta Hotel & Residences
551,Ahuimanu,US,75.2,broken clouds,21.4447,-157.8378,Paradise Bay Resort
552,Djougou,BJ,79.61,few clouds,9.7085,1.666,Hotel cathas
563,Phan Thiet,VN,70.9,overcast clouds,10.9333,108.1,Hotel Saigon-PT
564,Buchanan,LR,80.6,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
567,Santa Maria,BR,78.8,broken clouds,-29.6842,-53.8069,Hotel Morotin
570,Mahibadhoo,MV,81.68,broken clouds,3.7833,72.9667,Omadhoo Inn
577,Natalio,PY,72.46,overcast clouds,-26.7167,-55.0833,Casa familia Sánchez
580,Santa Maria Del Oro,MX,71.08,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
583,Boyolangu,ID,75.09,light rain,-8.1181,111.8935,Yos ega cv
588,Isangel,VU,75.2,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
593,Jega,NG,78.87,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
594,Loandjili,CG,78.64,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
599,Touros,BR,84.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
605,Puerto Colombia,CO,87.8,clear sky,10.9878,-74.9547,Hotel El Emigrante
607,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
609,Praya,CV,73.4,clear sky,14.9215,-23.5087,LT Aparthotel
611,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
614,Rio Verde De Mato Grosso,BR,85.89,overcast clouds,-18.9181,-54.8442,Hotel Valência
619,Vicosa Do Ceara,BR,80.85,light rain,-3.5622,-41.0922,Pousada Sitio Ipe
620,Salinopolis,BR,82.8,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
624,Pilar,BR,82.4,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
627,Dingle,PH,72.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
628,Voi,KE,71.53,overcast clouds,-3.3945,38.563,Voi Wildlife Lodge
631,Lazaro Cardenas,MX,83.01,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
632,Labuhan,ID,77.77,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
633,Biak,ID,76.42,overcast clouds,-0.9131,122.8766,Penginapan Kim
634,Puerto Cabezas,NI,82.4,light intensity drizzle,14.0351,-83.3888,Hotel Caribe
635,Masiga,PH,73.99,broken clouds,13.3607,121.8278,Golden SunSet Resort
638,Natal,BR,86.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
642,Vallenar,CL,85.89,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
644,Akropong,GH,82.4,clear sky,5.9746,-0.0854,Vip Lodge
646,Savannah Bight,HN,84.2,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
647,Pelotas,BR,82.4,broken clouds,-31.7719,-52.3425,Hotéis Jacques Georges Tower
650,Pontianak,ID,75.2,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
652,Ayna,PE,73.24,scattered clouds,-12.65,-73.9167,
659,Luebo,CD,72.3,overcast clouds,-5.35,21.4167,
661,Neiafu,TO,78.8,light rain,-18.65,-173.9833,Mystic Sands
668,Makaha,US,75.2,scattered clouds,21.4694,-158.2175,Hawaiian Princess Resort
669,Balikpapan,ID,73.74,overcast clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
670,Paraiso,CR,84.2,few clouds,9.8383,-83.8656,Rinconcito Verde
672,Veranopolis,BR,73.0,light rain,-28.9361,-51.5494,Verona Parque Hotel
682,Turiacu,BR,83.26,broken clouds,-1.6633,-45.3717,Pousada Maranata
683,Maun,BW,71.6,broken clouds,-19.9833,23.4167,Enviro Villa
684,Ambon,ID,81.82,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
686,Wukari,NG,83.05,clear sky,7.85,9.7833,Elimtop
